141,80,List not found : ,202 , List used : ,142,199,176,143,202
144,40,List not found : ,198,159,132 , List used : ,198,158,159,132,164
169,40,List not found : ,159,198,134 , List used : ,168,170,159,198,134
180,0,List not found : ,159,134,140,165,138 , List used : ,159,134,140,165,138
207,80,List not found : ,199 , List used : ,209,208,200,199,142
Average  ,45.4545

ratio CLD / HTD : 20% number img used  6
0,66.6667,List not found : ,67,5 , List used : ,61,25,67,37,5,70
1,33.3333,List not found : ,16,89,49,32 , List used : ,2,16,89,49,32,3
44,66.6667,List not found : ,53,14 , List used : ,43,45,39,40,53,14
52,16.6667,List not found : ,30,59,72,31,101 , List used : ,53,30,59,72,31,101
71,50,List not found : ,38,57,50 , List used : ,29,20,7,38,57,50
86,16.6667,List not found : ,81,125,124,118,99 , List used : ,80,81,125,124,118,99
141,66.6667,List not found : ,202,131 , List used : ,142,199,176,143,202,131
144,33.3333,List not found : ,198,159,132,168 , List used : ,198,158,159,132,164,168
169,50,List not found : ,159,198,134 , List used : ,168,170,159,198,134,171
180,0,List not found : ,159,134,140,165,138,157 , List used : ,159,134,140,165,138,157
207,66.6667,List not found : ,199,141 , List used : ,209,208,200,199,142,141
Average  ,42.4242

ratio CLD / HTD : 20% number img used  7
0,71.4286,List not found : ,67,5 , List used : ,61,25,67,37,5,70,33
1,28.5714,List not found : ,16,89,49,32,76 , List used : ,2,16,89,49,32,3,76
44,57.1429,List not found : ,53,14,30 , List used : ,43,45,39,40,53,14,30
52,14.2857,List not found : ,30,59,72,31,101,14 , List used : ,53,30,59,72,31,101,14
71,42.8571,List not found : ,38,57,50,34 , List used : ,29,20,7,38,57,50,34
86,14.2857,List not found : ,81,125,124,118,99,110 , List used : ,80,81,125,124,118,99,110
141,57.1429,List not found : ,202,131,171 , List used : ,142,199,176,143,202,131,171
144,28.5714,List not found : ,198,159,132,168,138 , List used : ,198,158,159,132,164,168,138
169,42.8571,List not found : ,159,198,134,151 , List used : ,168,170,159,198,134,171,151
